employee_id,job_role,training_hours,client_contacts,task_switch_hours,performance_index
E0001,account_manager,7.5,12.17,5.4,76.3
E0002,support_engineer,5.9,5.41,9.6,45
E0003,implement_specialist,7.9,10.87,2.8,57
E0004,account_manager,9.2,11.48,5.6,70.2
E0005,support_engineer,8.1,7.65,5.1,61.1
E0006,account_manager,6.3,8.42,5,64
E0007,support_engineer,5.9,3.43,8.8,43.5
E0008,account_manager,5.7,5.69,4.5,54.5
E0009,implement_specialist,6.9,10.57,6.5,51
E0010,support_engineer,6.5,8.64,8.3,49.4
E0011,support_engineer,7.8,13.09,3.1,67.7
E0012,support_engineer,6,0,6.2,46.7
E0013,support_engineer,9.2,10.44,0.9,59.7
E0014,support_engineer,6.8,5.32,5.3,54
E0015,support_engineer,5.6,3.18,6.7,29.9
E0016,support_engineer,6.5,7.13,8.8,55
E0017,account_manager,7.7,10.42,9.6,54.6
E0018,implement_specialist,6.9,5.2,6.8,42.6
E0019,account_manager,8.8,10.44,7.1,58.7
E0020,support_engineer,9.1,11.59,4.5,87.6
E0021,support_engineer,5.4,6.91,5.4,57.5
E0022,account_manager,9.6,11.39,6.3,59.8
E0023,account_manager,7.1,8.77,6.2,89.4
E0024,account_manager,5.9,7.41,5.3,80.6
E0025,support_engineer,7.3,0.84,1.8,85.4
E0026,account_manager,8.9,7.82,6.4,68.5
E0027,account_manager,7,0.28,7,68.7
E0028,implement_specialist,7,4.38,9.4,17.9
E0029,account_manager,5.5,2.28,10.9,70.2
E0030,account_manager,6.3,2.08,6.2,45.9
E0031,implement_specialist,5.7,4.27,8.8,59.6
E0032,account_manager,7.1,7.74,4.5,48.9
E0033,implement_specialist,7,4.31,6.8,52.3
E0034,implement_specialist,7,5.1,6.1,64.6
E0035,support_engineer,7.9,10.81,5.7,57
E0036,implement_specialist,7.7,5,3.2,63.4
E0037,account_manager,7.2,4.53,4.7,59.4
E0038,implement_specialist,6.5,6.97,7.2,56.8
E0039,account_manager,7.9,7.09,2.9,51.1
E0040,account_manager,7.9,5.19,11.5,38.1
E0041,support_engineer,6.6,5.09,4.1,54.5
E0042,support_engineer,5.1,6.73,4.8,47.8
E0043,implement_specialist,5.5,6.18,7.8,76.6
E0044,account_manager,8.2,12.71,6.8,72.9
E0045,account_manager,4.4,2.96,8.4,37.5
E0046,account_manager,9.1,8.18,6.1,51
E0047,account_manager,6.5,5.02,2.9,48.2
E0048,implement_specialist,7.3,4.86,4.4,50.5
E0049,support_engineer,7.6,7.33,0.3,64.2
E0050,account_manager,6.5,1.42,6.6,57.5
E0051,account_manager,6,10.59,6.8,65.2
E0052,account_manager,6.2,2.83,7,64.3
E0053,account_manager,7.9,6.81,6.1,73.9
E0054,account_manager,8.1,5.24,7.4,56.1
E0055,account_manager,7.5,13.99,1.8,65.2
E0056,account_manager,8.4,6.33,6.1,64.8
E0057,implement_specialist,7.1,8.84,10.9,53.4
E0058,implement_specialist,7.2,5.08,8,50.7
E0059,account_manager,7.7,10.16,2.5,47.6
E0060,account_manager,7.1,8.48,6.4,38.3
E0061,account_manager,6,6.1,6,49.1
E0062,account_manager,7.3,5.71,9.2,53.4
E0063,account_manager,6.9,2.61,5.4,53.5
E0064,account_manager,6.7,3.4,4.6,56.5
E0065,implement_specialist,7.4,4.35,5.1,48.5
E0066,account_manager,7.8,10.04,7.7,60
E0067,implement_specialist,8.4,6.47,4.9,69.4
E0068,implement_specialist,8.6,5.44,10.6,29.8
E0069,support_engineer,7.3,7.26,9.3,55.7
E0070,support_engineer,10.5,6.35,3.7,71.6
E0071,implement_specialist,8.3,6.06,6.4,44.9
E0072,support_engineer,7.3,8.05,3.4,71.3
E0073,account_manager,6.7,4.44,6.4,46.1
E0074,account_manager,7.2,8.2,5.9,77.9
