tutor_id,experience,year,term,policy,student_satisfaction,metric,mmss
1,mid,2021,winter,human,100,wait_time,2570:45.9
1,mid,2021,winter,human,100,session_time,36:22.3
1,mid,2021,spring,human,100,wait_time,2451:01.0
1,mid,2021,spring,human,100,session_time,26:36.6
1,mid,2021,summer,ai_assist,50.5,wait_time,3524:16.3
1,mid,2021,summer,ai_assist,69.81,session_time,35:24.3
1,mid,2021,autumn,human,56.5,wait_time,2423:03.0
1,mid,2021,autumn,human,56.5,session_time,30:57.5
1,mid,2022,winter,ai_assist,-2.15,wait_time,3149:26.9
1,mid,2022,winter,ai_assist,15.4,session_time,31:28.1
1,mid,2022,spring,human,59.52,wait_time,2469:52.7
1,mid,2022,spring,human,85.64,session_time,37:45.1
1,mid,2022,summer,ai_assist,92.2,wait_time,3027:37.3
1,mid,2022,summer,ai_assist,102.76,session_time,33:56.5
1,mid,2022,autumn,ai_assist,42.59,wait_time,4001:52.3
1,mid,2022,autumn,ai_assist,7.93,session_time,32:16.6
1,mid,2023,winter,ai_assist,104.9,wait_time,2311:02.3
1,mid,2023,winter,ai_assist,96.99,session_time,37:05.2
1,mid,2023,spring,human,100,wait_time,2732:32.4
1,mid,2023,spring,human,100,session_time,34:23.8
1,mid,2023,summer,human,113.47,wait_time,1809:57.4
1,mid,2023,summer,human,84.13,session_time,36:59.7
1,mid,2023,autumn,ai_assist,35.7,wait_time,3191:07.8
1,mid,2023,autumn,ai_assist,35.7,session_time,33:05.1
1,mid,2024,winter,human,28.8,wait_time,1960:14.2
1,mid,2024,winter,human,28.8,session_time,38:17.6
1,mid,2024,spring,human,100,wait_time,2409:53.3
1,mid,2024,spring,human,100,session_time,35:41.1
1,mid,2024,summer,human,115.14,wait_time,2027:30.9
1,mid,2024,summer,human,107.27,session_time,42:30.5
1,mid,2024,autumn,ai_assist,77.7,wait_time,2794:19.2
1,mid,2024,autumn,ai_assist,77.7,session_time,43:47.6
1,mid,2025,winter,human,100,wait_time,2448:04.1
1,mid,2025,winter,human,100,session_time,45:51.6
1,mid,2025,spring,ai_assist,73.6,wait_time,1792:59.2
1,mid,2025,spring,ai_assist,73.6,session_time,32:15.1
1,mid,2025,summer,human,94.56,wait_time,1948:33.8
1,mid,2025,summer,human,61.29,session_time,38:46.5
1,mid,2025,autumn,human,51,wait_time,2310:24.7
1,mid,2025,autumn,human,51,session_time,39:44.9
2,novice,2021,winter,ai_assist,0,wait_time,7853:30.8
2,novice,2021,winter,ai_assist,0,session_time,15:42.6
2,novice,2021,spring,human,0,wait_time,5811:28.2
2,novice,2021,spring,human,0,session_time,15:22.4
2,novice,2021,summer,human,10.7,wait_time,5066:46.7
2,novice,2021,summer,human,-9.27,session_time,20:25.1
2,novice,2021,autumn,human,0,wait_time,7083:49.7
2,novice,2021,autumn,human,0,session_time,16:51.4
2,novice,2022,winter,ai_assist,-0.02,wait_time,7191:11.7
2,novice,2022,winter,ai_assist,62.55,session_time,17:33.0
2,novice,2022,spring,human,83.83,wait_time,7130:20.6
2,novice,2022,spring,human,124.74,session_time,20:18.1
